session,detection_id,event_type,detection_time_s,priority,source
S01,DET0001,pace_surge,20.348,3,commentary_engine
S01,DET0002,contact,26.354,5,commentary_engine
S01,DET0003,contact,27.806,5,commentary_engine
S01,DET0004,position_change,29.324,5,commentary_engine
S01,DET0005,pace_surge,44.928,3,commentary_engine
S01,DET0006,pace_surge,49.428,3,commentary_engine
S01,DET0007,off_track,51.948,5,commentary_engine
S01,DET0008,contact,52.908,5,commentary_engine
S01,DET0009,contact,57.948,5,commentary_engine
S01,DET0010,position_change,61.968,5,commentary_engine
S01,DET0011,pace_surge,69.488,3,commentary_engine
S01,DET0012,off_track,81.566,5,commentary_engine
S01,DET0013,off_track,93.050,5,commentary_engine
S01,DET0014,contact,97.604,5,commentary_engine
S01,DET0015,contact,98.594,5,commentary_engine
S01,DET0016,off_track,103.082,5,commentary_engine
S01,DET0017,contact,116.678,5,commentary_engine
S01,DET0018,contact,117.668,5,commentary_engine
S01,DET0019,contact,118.658,5,commentary_engine
S01,DET0020,contact,119.648,5,commentary_engine
S02,DET0021,pace_surge,164.448,3,commentary_engine
S02,DET0022,off_track,170.448,5,commentary_engine
S02,DET0023,lap_complete,175.008,4,commentary_engine
S02,DET0024,pace_surge,176.508,3,commentary_engine
S02,DET0025,pace_surge,188.028,3,commentary_engine
S02,DET0026,pace_surge,204.588,3,commentary_engine
S02,DET0027,pace_surge,211.128,3,commentary_engine
S02,DET0028,off_track,214.668,5,commentary_engine
S02,DET0029,off_track,216.648,5,commentary_engine
S02,DET0030,pace_surge,228.228,3,commentary_engine
S02,DET0031,pace_surge,230.748,3,commentary_engine
S02,DET0032,pace_surge,240.288,3,commentary_engine
S02,DET0033,contact,250.308,5,commentary_engine
S02,DET0034,contact,257.868,5,commentary_engine
S02,DET0035,pace_surge,279.468,3,commentary_engine
S02,DET0036,lap_complete,300.708,4,commentary_engine
S03,DET0037,contact,42.588,5,commentary_engine
S03,DET0038,pace_surge,44.148,3,commentary_engine
S03,DET0039,contact,54.168,5,commentary_engine
S03,DET0040,position_change,55.188,5,commentary_engine
S03,DET0041,position_change,59.688,5,commentary_engine
S03,DET0042,position_change,68.762,5,commentary_engine
S03,DET0043,pace_surge,74.240,3,commentary_engine
S03,DET0044,position_change,75.230,5,commentary_engine
S03,DET0045,position_change,76.748,5,commentary_engine
S03,DET0046,contact,79.784,5,commentary_engine
S03,DET0047,contact,86.846,5,commentary_engine
S03,DET0048,contact,88.826,5,commentary_engine
S03,DET0049,contact,94.832,5,commentary_engine
S03,DET0050,pace_surge,102.884,3,commentary_engine
S03,DET0051,pace_surge,117.470,3,commentary_engine
S03,DET0052,position_change,127.040,5,commentary_engine
S03,DET0053,pace_surge,137.088,3,commentary_engine
S03,DET0054,battle,146.628,4,commentary_engine
S03,DET0055,pace_surge,148.128,3,commentary_engine
S03,DET0056,pace_surge,164.208,3,commentary_engine
S03,DET0057,battle,166.728,4,commentary_engine
S03,DET0058,contact,167.748,5,commentary_engine
S03,DET0059,contact,169.728,5,commentary_engine
S03,DET0060,contact,171.228,5,commentary_engine
S03,DET0061,lap_complete,186.828,4,commentary_engine
S04,DET0062,pace_surge,5.638,3,commentary_engine
S04,DET0063,pace_surge,21.668,3,commentary_engine
S04,DET0064,position_change,23.186,5,commentary_engine
S04,DET0065,position_change,25.694,5,commentary_engine
S04,DET0066,pace_surge,37.248,3,commentary_engine
S04,DET0067,pace_surge,50.328,3,commentary_engine
S04,DET0068,position_change,68.894,5,commentary_engine
S04,DET0069,position_change,69.884,5,commentary_engine
S04,DET0070,pace_surge,75.956,3,commentary_engine
S04,DET0071,battle,82.952,4,commentary_engine
S04,DET0072,position_change,85.460,5,commentary_engine
S04,DET0073,battle,89.024,4,commentary_engine
S04,DET0074,battle,90.014,4,commentary_engine
S04,DET0075,battle,91.004,4,commentary_engine
S04,DET0076,battle,91.994,4,commentary_engine
S04,DET0077,battle,93.512,4,commentary_engine
S04,DET0078,battle,94.502,4,commentary_engine
S04,DET0079,battle,95.558,4,commentary_engine
S04,DET0080,battle,97.010,4,commentary_engine
S04,DET0081,pace_surge,99.056,3,commentary_engine
S04,DET0082,pace_surge,118.658,3,commentary_engine
S04,DET0083,pace_surge,136.728,3,commentary_engine
S04,DET0084,battle,163.848,4,commentary_engine
S04,DET0085,battle,164.868,4,commentary_engine
S04,DET0086,battle,165.888,4,commentary_engine
S05,DET0087,position_change,140.688,5,commentary_engine
S05,DET0088,contact,146.688,5,commentary_engine
S05,DET0089,position_change,147.708,5,commentary_engine
S05,DET0090,contact,149.208,5,commentary_engine
S05,DET0091,contact,150.228,5,commentary_engine
S05,DET0092,contact,153.228,5,commentary_engine
S05,DET0093,contact,154.248,5,commentary_engine
S05,DET0094,pace_surge,168.348,3,commentary_engine
S05,DET0095,pace_surge,179.388,3,commentary_engine
S05,DET0096,battle,182.388,4,commentary_engine
S05,DET0097,battle,183.408,4,commentary_engine
S05,DET0098,battle,184.428,4,commentary_engine
S05,DET0099,pace_surge,185.928,3,commentary_engine
S05,DET0100,position_change,187.428,5,commentary_engine
S05,DET0101,pace_surge,196.488,3,commentary_engine
S05,DET0102,pace_surge,214.068,3,commentary_engine
S05,DET0103,off_track,217.608,5,commentary_engine
S05,DET0104,contact,222.648,5,commentary_engine
S05,DET0105,contact,223.608,5,commentary_engine
S05,DET0106,contact,227.628,5,commentary_engine
S05,DET0107,position_change,230.688,5,commentary_engine
S05,DET0108,contact,234.708,5,commentary_engine
S05,DET0109,contact,235.668,5,commentary_engine
S05,DET0110,contact,236.688,5,commentary_engine
S05,DET0111,contact,237.708,5,commentary_engine
S06,DET0112,contact,4.780,5,commentary_engine
S06,DET0113,contact,7.486,5,commentary_engine
S06,DET0114,contact,16.982,5,commentary_engine
S06,DET0115,contact,18.038,5,commentary_engine
S06,DET0116,contact,20.018,5,commentary_engine
S06,DET0117,contact,21.008,5,commentary_engine
S06,DET0118,position_change,22.526,5,commentary_engine
S06,DET0119,contact,48.168,5,commentary_engine
S06,DET0120,contact,61.188,5,commentary_engine
S06,DET0121,contact,76.286,5,commentary_engine
S06,DET0122,battle,77.738,4,commentary_engine
